"Block","Vehicle","Distance","Lane","GNDVI","LCI","NDRE","NDVI","OSAVI"
"B","Control",1,1,0.563881941220499,0.183423889991,0.129431561809021,0.601727992527702,0.394524637332511
"B","Control",2,1,0.53351835677668,0.168967684362473,0.121313572030464,0.562275880510675,0.369909080622262
"B","Control",3,1,0.542047525467146,0.171525156048123,0.121762370027309,0.577269760504585,0.383326405009921
"B","Control",4,1,0.522564632236169,0.162853812173617,0.116506032049898,0.559255878027303,0.371841374225573
"B","Control",5,1,0.601030038154144,0.209743362851361,0.143905393424882,0.663308050273872,0.459239332954923
"B","Control",6,1,0.591604409523486,0.212220346237359,0.146423358749584,0.658059648658936,0.446356032680089
"B","Control",7,1,0.61854205307231,0.226821403684921,0.153722582482314,0.699278768322862,0.48097435403689
"B","Control",8,1,0.535226432212517,0.176387644654083,0.12615134670958,0.56851271689892,0.382052807401355
"B","Control",9,1,0.548898362069173,0.180648841481792,0.128099919736998,0.583620009693816,0.394430465668128
"B","Control",10,1,0.590864893917414,0.203921083308823,0.141394873348483,0.646192880430759,0.439779302770895
"B","Control",11,1,0.588611281316023,0.202953478473344,0.139736574871291,0.653415023948654,0.445010252364355
"B","Control",12,1,0.55643890386456,0.186072100775925,0.129620519948255,0.615598188262189,0.419205245063931
"B","Control",13,1,0.56600135725945,0.190413861536403,0.131955620632218,0.626345139667848,0.430582837380482
"B","Control",14,1,0.571539091825058,0.192068608051727,0.132702291343611,0.632283523464261,0.434525936028992
"B","Control",15,1,0.567414824471562,0.181355539030414,0.125551655704544,0.624872439173802,0.423761853784779
"B","Control",16,1,0.563816238013909,0.187582656162402,0.131737627857812,0.609786979409569,0.41649487603617
"B","Control",17,1,0.571473077614221,0.198399630008307,0.137166456258837,0.639103264426927,0.440847960017388
"B","Control",18,1,0.615284419571008,0.229885896898744,0.155269220556046,0.70505829890491,0.494500355524509
"B","Control",19,1,0.602879276607921,0.219526142434043,0.151251981531069,0.66869025777746,0.457272921596601
"B","Control",20,1,0.560582685751787,0.198790857903315,0.140576709012671,0.611871992334917,0.407453417922195
"B","Control",21,1,0.599494881884544,0.214568768828947,0.147617068411139,0.665264643163536,0.451278049815109
"B","Control",22,1,0.593991105506222,0.218245978530571,0.150240332250203,0.666856682968972,0.450481887564666
"B","Control",23,1,0.544103894438662,0.188282738672074,0.135767989853044,0.578035915996025,0.378075204669399
"B","Control",24,1,0.521641436472933,0.175140206238847,0.127417019734493,0.547146280768338,0.351446033189743
"B","Control",25,1,0.546967858436342,0.187629305515533,0.132203831798989,0.60010493952033,0.395339394164216
"B","Control",26,1,0.556652637286165,0.188856788723203,0.133031491145919,0.611049262815727,0.40011801980418
"B","Control",27,1,0.549115346937924,0.190018910440204,0.135011156654546,0.594518156580106,0.398760804662948
"B","Control",28,1,0.552219924275398,0.18335697597109,0.128545019387357,0.604138067459231,0.397622613923753
"B","Control",29,1,0.514548860718856,0.166705871686201,0.120628196330351,0.548462776504833,0.344281016148033
"B","Control",30,1,0.527439435279877,0.168179771947867,0.121732164541209,0.551743734011628,0.35692958522096
"B","KXI",1,2,0.553812731440615,0.180898533647959,0.128738480394764,0.587233912834643,0.390406007011614
"B","KXI",2,2,0.524988945389242,0.163372552515858,0.11893226952419,0.539049029149558,0.356760117892588
"B","KXI",3,2,0.522349785061362,0.165136615020217,0.121013418575489,0.528916120478681,0.353682742512257
"B","KXI",4,2,0.548993191029092,0.177665363896914,0.127171743433116,0.574110477707692,0.38717203749571
"B","KXI",5,2,0.576488081999107,0.19038375985872,0.132940279616029,0.617724469282866,0.429313851624256
"B","KXI",6,2,0.567455666361738,0.185221307498651,0.13025942685799,0.606661245966196,0.412575525875451
"B","KXI",7,2,0.585954955450306,0.195878497069121,0.135661958872106,0.6409746343844,0.438848161212886
"B","KXI",8,2,0.574916608247418,0.189978487550593,0.131880749322755,0.627782444344757,0.427724615349821
"B","KXI",9,2,0.585700364236875,0.189853669728386,0.131008916912587,0.638296106528038,0.430864920396482
"B","KXI",10,2,0.569784087424174,0.182041237065313,0.127604410324991,0.60757659556632,0.412394156570939
"B","KXI",11,2,0.541731834297638,0.170584480799904,0.123021504640265,0.555994983539195,0.372728723166755
"B","KXI",12,2,0.524927812917734,0.164301242039165,0.118154587750324,0.549122243586129,0.363951185570073
"B","KXI",13,2,0.462786552489887,0.130950925995345,0.0982618508860178,0.457728140413146,0.299119818459145
"B","KXI",14,2,0.441889583240025,0.121764773020027,0.0911443792062624,0.432936300071773,0.292340371213502
"B","KXI",15,2,0.559070419023196,0.174160882748735,0.122202140871234,0.597318015136151,0.407273524224988
"B","KXI",16,2,0.550783497455226,0.174480178138479,0.123573325999312,0.580196245500691,0.398921225883882
"B","KXI",17,2,0.552800903464456,0.186544718877469,0.130864114658502,0.597854076786059,0.413857572739665
"B","KXI",18,2,0.547750723656973,0.184587084702501,0.131168582531973,0.587265301911359,0.393274578534718
"B","KXI",19,2,0.551985880408473,0.181294735915273,0.128129584464015,0.596282086238021,0.400326777274285
"B","KXI",20,2,0.541308179260535,0.178595854491625,0.127891240785826,0.573233649694526,0.378320502926848
"B","KXI",21,2,0.591282051008506,0.206881323348689,0.142524326854548,0.65786335449979,0.44632649848121
"B","KXI",22,2,0.569409829534333,0.197511139941378,0.138995854435514,0.616063259366202,0.413605296342303
"B","KXI",23,2,0.560649558077047,0.192681747751965,0.134928171081173,0.605601254513957,0.408093901932581
"B","KXI",24,2,0.568061393740406,0.196347692577651,0.138716848468362,0.610438674810385,0.412143861157617
"B","KXI",25,2,0.549786268833041,0.185350087825437,0.133189737270443,0.576534072986821,0.385748538555103
"B","KXI",26,2,0.566120305325029,0.193462318497285,0.137033179728011,0.601361007869656,0.405847280132467
"B","KXI",27,2,0.511754494024604,0.164588827867573,0.121121571994052,0.523883820672632,0.343373402635065
"B","KXI",28,2,0.509583325310577,0.163579202026039,0.120175665535601,0.519276754263335,0.343101136720157
"B","KXI",29,2,0.515676841567672,0.168587364472634,0.123258986451904,0.534965512202115,0.351312714778984
"B","KXI",30,2,0.499130285631816,0.157847129900594,0.116554369654919,0.505589923991703,0.332906287345422
"B","Standard",1,3,0.544135389484721,0.17656357499569,0.126941189555864,0.570571042291529,0.375862029593645
"B","Standard",2,3,0.541118354076682,0.174969296344676,0.124961791345468,0.577576463710115,0.38745868880874
"B","Standard",3,3,0.529323851800276,0.171186670569467,0.123087173997228,0.558533331212,0.371770880751268
"B","Standard",4,3,0.540910832012163,0.174061545479518,0.123003479582463,0.587211705615877,0.396783389928766
"B","Standard",5,3,0.504195290090363,0.155792577906348,0.113298219263403,0.52801418058786,0.356801798293831
"B","Standard",6,3,0.5500979938385,0.178798886039798,0.126120224030795,0.593535875065009,0.404198609195105
"B","Standard",7,3,0.554091904634072,0.184627524555588,0.12980770433411,0.603798005199104,0.407133080729301
"B","Standard",8,3,0.551303975972104,0.179497669771699,0.126029975566078,0.596052400666709,0.402868393549462
"B","Standard",9,3,0.519140724120959,0.163500437799444,0.118111533010842,0.545492333954378,0.355148561297739
"B","Standard",10,3,0.51053946266823,0.160426690367159,0.116251954638914,0.540053775653032,0.353063471084109
"B","Standard",11,3,0.516234799512869,0.159187860770479,0.115508599520456,0.539193686918737,0.354138430643025
"B","Standard",12,3,0.514147607317288,0.161154818383444,0.11723669836461,0.534767453792997,0.3561083443695
"B","Standard",13,3,0.518399136334491,0.158167647823806,0.114050158792603,0.541599954155211,0.364122627728144
"B","Standard",14,3,0.553877387937121,0.17659200922093,0.123675859254152,0.601912865098434,0.405603339226338
"B","Standard",15,3,0.571316549983772,0.191358697033468,0.133709670541082,0.623563483547639,0.421995822259015
"B","Standard",16,3,0.550707440693393,0.183393405222398,0.130525589032826,0.586121157305864,0.392219846622764
"B","Standard",17,3,0.541764590976857,0.170091099137609,0.120970357477735,0.569666464830002,0.381896796379338
"B","Standard",18,3,0.525860628465743,0.160994978029138,0.115742351969432,0.55023561893723,0.371213264090408
"B","Standard",19,3,0.548085928754345,0.174430036029108,0.122948315721766,0.592226347324723,0.399893291418761
"B","Standard",20,3,0.543283885893695,0.170946618454035,0.121446340758531,0.581421598713678,0.393533352298644
"B","Standard",21,3,0.552153600001183,0.182171494743175,0.128773608561083,0.597342915578291,0.405371666835328
"B","Standard",22,3,0.556655440527646,0.18515225185483,0.131511174248135,0.593178590400761,0.403050482761149
"B","Standard",23,3,0.543523146821283,0.181315738157982,0.129199840219221,0.576064431839683,0.386173553247541
"B","Standard",24,3,0.516675058436913,0.167217647478738,0.12134427955693,0.5357858940342,0.352396889382271
"B","Standard",25,3,0.530954616941689,0.171315886637837,0.122416818758855,0.565403407446714,0.375655703447491
"B","Standard",26,3,0.514993671903508,0.164924448273642,0.119618488059698,0.534919172177915,0.350592615070565
"B","Standard",27,3,0.482944211318327,0.144948290126488,0.106294874961591,0.490751360067815,0.318006473775554
"B","Standard",28,3,0.510685079564812,0.162121931443848,0.117936020459753,0.533816780353431,0.349120609513824
"B","Standard",29,3,0.531757101163604,0.166844325752492,0.119703232429668,0.561233271453079,0.372306932688809
"B","Standard",30,3,0.516962274336905,0.158140158690668,0.113400942586414,0.543377516606977,0.359893281314463
"C","KXI",1,1,0.511292512593189,0.162432346564504,0.11822500376619,0.53857937206247,0.355704717765914
"C","KXI",2,1,0.543260931270126,0.179760643323187,0.127901739205063,0.585999355288856,0.388243501437045
"C","KXI",3,1,0.553236763638462,0.180867524487422,0.126567364870578,0.609894023481133,0.409754507659026
"C","KXI",4,1,0.553823843842624,0.176966836622949,0.123480937368391,0.606344332684319,0.407755174317436
"C","KXI",5,1,0.482856828650242,0.144399882929307,0.107229554424917,0.487868499006724,0.319890759777455
"C","KXI",6,1,0.471850516210559,0.143116685895437,0.106828288838308,0.474676585829777,0.314302123884278
"C","KXI",7,1,0.517693982472355,0.163294681124011,0.11793352529301,0.541420053452586,0.363629753404194
"C","KXI",8,1,0.535487701811765,0.17577495454276,0.12529740412731,0.570169076177476,0.384333850494871
